종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2910","665","29.62","141241628220"
"054620","APS","KOSDAQ","금융","11150","-100","-0.89","227395564150"
"265520","AP시스템","KOSDAQ","반도체","21000","-150","-0.71","320909841000"
"211270","AP위성","KOSDAQ","통신장비","15120","-1530","-9.19","228044436480"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","7350","-140","-1.87","300387252900"
"013720","CBI","KOSDAQ","운송장비·부품","236","0","0.00","70810952996"
"035760","CJ ENM","KOSDAQ","방송서비스","77800","-700","-0.89","1706088181200"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","26800","-250","-0.92","157548409600"
"051500","CJ프레시웨이","KOSDAQ","유통","28150","-200","-0.71","334185145900"
"058820","CMG제약","KOSDAQ","제약","2300","-5","-0.22","319452161200"
"023460","CNH","KOSDAQ","금융","2365","-10","-0.42","87978000000"
"056730","CNT85","KOSDAQ","건설","1608","-4","-0.25","65923105248"
"065770","CS","KOSDAQ","통신장비","1554","-17","-1.08","30164896020"
"083660","CSA 코스믹","KOSDAQ","화학","2190","503","29.82","86398112670"
"404950","DB금융스팩10호","KOSDAQ","금융","2120","0","0.00","12380800000"
"367340","DB금융스팩8호","KOSDAQ","금융","2060","0","0.00","12463000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2125","0","0.00","10285000000"
"060900","DGP","KOSDAQ","전기·가스·수도","502","0","0.00","103654550838"
"025440","DH오토웨어","KOSDAQ","일반전기전자","2775","-55","-1.94","79087500000"
"068790","DMS","KOSDAQ","기계·장비","6080","-10","-0.16","149404210880"
"241520","DSC인베스트먼트","KOSDAQ","금융","3890","-30","-0.77","108186357670"
"065150","DSEN","KOSDAQ","유통","396","-4","-1.00","49611832380"
"180400","DXVX","KOSDAQ","기타서비스","8440","250","3.05","243877049400"
"245620","EDGC","KOSDAQ","기타서비스","1658","5","0.30","139745335788"
"037370","EG","KOSDAQ","화학","21300","-250","-1.16","183711903600"
"050120","ES큐브","KOSDAQ","유통","4565","80","1.78","61920052590"
"214270","FSN","KOSDAQ","출판·매체복제","3560","-125","-3.39","118371648280"
"130500","GH신소재","KOSDAQ","섬유·의류","3475","-75","-2.11","50544055700"
"900290","GRT","KOSDAQ","금융","3325","-95","-2.78","224021875000"
"083450","GST","KOSDAQ","반도체","27000","800","3.05","251579115000"
"297890","HB솔루션","KOSDAQ","기계·장비","16190","0","0.00","270698305670"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2860","-20","-0.69","225912618360"
"195940","HK이노엔","KOSDAQ","제약","33150","-350","-1.04","939135886650"
"028300","HLB","KOSDAQ","제약","36700","1000","2.80","4499667908500"
"278650","HLB바이오스텝","KOSDAQ","기타서비스","4275","150","3.64","327360630150"
"067630","HLB생명과학","KOSDAQ","제약","11060","110","1.00","1125289159820"
"024850","HLB이노베이션","KOSDAQ","반도체","4615","45","0.98","306930871065"
"047920","HLB제약","KOSDAQ","기타서비스","15360","960","6.67","431755960320"
"115450","HLB테라퓨틱스","KOSDAQ","유통","5700","180","3.26","404984338800"
"403870","HPSP","KOSDAQ","반도체","25900","1750","7.25","2102018100000"
"036640","HRS","KOSDAQ","화학","5890","-80","-1.34","96329772000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2420","0","0.00","6582400000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2325","0","0.00","11811000000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2315","5","0.22","9977650000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2225","5","0.23","9367250000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2210","10","0.45","9790300000"
"095340","ISC","KOSDAQ","반도체","50800","600","1.20","883893126800"
"099520","ITX-AI","KOSDAQ","통신장비","1284","0","0.00","49626429228"
"950170","JTC","KOSDAQ","유통","3990","-60","-1.48","200651605770"
"067290","JW신약","KOSDAQ","제약","3140","-30","-0.95","152061335780"
"035900","JYP Ent.","KOSDAQ","오락·문화","113700","1400","1.25","4036064840400"
"318000","KBG","KOSDAQ","화학","13870","-990","-6.66","114147672750"
"024840","KBI메탈","KOSDAQ","금속","1808","-72","-3.83","61355657008"
"024120","KB오토시스","KOSDAQ","운송장비·부품","5750","-190","-3.20","66125000000"
"021320","KCC건설","KOSDAQ","건설","5800","-20","-0.34","124120000000"
"036670","KCI","KOSDAQ","화학","8750","-30","-0.34","98612500000"
"044180","KD","KOSDAQ","건설","869","-17","-1.92","23217767331"
"151860","KG ETS","KOSDAQ","화학","13710","-640","-4.46","493560000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","5860","-10","-0.17","227517828480"
"035600","KG이니시스","KOSDAQ","소프트웨어","12000","-210","-1.72","334853208000"
"226360","KH 건설","KOSDAQ","건설","319","0","0.00","39434949389"
"111870","KH 전자","KOSDAQ","일반전기전자","198","0","0.00","31672044756"
"060720","KH바텍","KOSDAQ","IT부품","20500","350","1.74","485387561000"
"058400","KNN","KOSDAQ","방송서비스","924","-9","-0.96","122365061280"
"114450","KPX생명과학","KOSDAQ","제약","4005","-65","-1.60","60075000000"
"060370","KT서브마린","KOSDAQ","건설","7300","210","2.96","189349093600"
"122450","KX","KOSDAQ","방송서비스","4985","-15","-0.30","225999780540"
"052900","KX하이텍","KOSDAQ","반도체","1470","16","1.10","81008049990"
"376190","LB루셈","KOSDAQ","반도체","7630","130","1.73","187698000000"
"061970","LB세미콘","KOSDAQ","반도체","8040","130","1.64","352028119680"
"309960","LB인베스트먼트","KOSDAQ","금융","5510","-130","-2.30","127926986890"
"086960","MDS테크","KOSDAQ","소프트웨어","2630","-245","-8.52","218894807950"
"038340","MIT","KOSDAQ","일반전기전자","1362","0","0.00","30964113876"
"160550","NEW","KOSDAQ","오락·문화","6500","-190","-2.84","181389689000"
"053290","NE능률","KOSDAQ","출판·매체복제","4410","-120","-2.65","72881013870"
"060250","NHN KCP","KOSDAQ","소프트웨어","10920","-180","-1.62","438553872120"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","5880","-110","-1.84","87185994000"
"030190","NICE평가정보","KOSDAQ","기타서비스","10510","-160","-1.50","638112758200"
"024940","PN풍년","KOSDAQ","유통","6830","-20","-0.29","68300000000"
"218410","RFHIC","KOSDAQ","일반전기전자","22400","50","0.22","600016121600"
"327260","RF머트리얼즈","KOSDAQ","기타제조","12170","200","1.67","101415421270"
"091340","S&K폴리텍","KOSDAQ","IT부품","4110","-40","-0.96","48102293310"
"419530","SAMG엔터","KOSDAQ","오락·문화","27350","-450","-1.62","234961935500"
"019550","SBI인베스트먼트","KOSDAQ","금융","1089","-3","-0.27","176490500175"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","5010","-60","-1.18","120503225400"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","6260","-40","-0.63","134361854300"
"151910","SBW생명과학","KOSDAQ","IT부품","506","-19","-3.62","89629863708"
"036120","SCI평가정보","KOSDAQ","기타서비스","3905","50","1.30","138627500000"
"099220","SDN","KOSDAQ","유통","2025","-35","-1.70","113747917275"
"036540","SFA반도체","KOSDAQ","반도체","5750","50","0.88","945646742250"
"255220","SG","KOSDAQ","비금속","1281","3","0.23","57333318609"
"040610","SG&G","KOSDAQ","운송","1737","-20","-1.14","59209459452"
"049470","SGA","KOSDAQ","소프트웨어","711","-14","-1.93","41851059039"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","899","-18","-1.96","48714314376"
"016250","SGC이테크건설","KOSDAQ","건설","25000","-700","-2.72","83665325000"
"048550","SM C&C","KOSDAQ","방송서비스","2845","-40","-1.39","274800313900"
"063440","SM Life Design","KOSDAQ","출판·매체복제","2075","-30","-1.43","95510494550"
"289080","SV인베스트먼트","KOSDAQ","금융","2190","-15","-0.68","116582460000"
"089230","THE E&M","KOSDAQ","인터넷","277","-7","-2.46","51427854902"
"161570","THE MIDONG","KOSDAQ","정보기기","1850","-150","-7.50","28828235500"
"032540","TJ미디어","KOSDAQ","일반전기전자","8050","-60","-0.74","112149452450"
"022220","TKG애강","KOSDAQ","화학","1517","9","0.60","78572376343"
"048770","TPC","KOSDAQ","기계·장비","3635","-55","-1.49","57062197285"
"246690","TS인베스트먼트","KOSDAQ","금융","1615","5","0.31","63672794585"
"317240","TS트릴리온","KOSDAQ","화학","631","7","1.12","59596451375"
"057030","YBM넷","KOSDAQ","기타서비스","4735","-25","-0.53","77240620295"
"040300","YTN","KOSDAQ","방송서비스","6370","100","1.59","267540000000"
"051390","YW","KOSDAQ","유통","3735","-15","-0.40","42412299480"
"052220","iMBC","KOSDAQ","디지털컨텐츠","3405","-35","-1.02","78315000000"
"079940","가비아","KOSDAQ","인터넷","11230","-70","-0.62","152005731320"
"078890","가온그룹","KOSDAQ","통신장비","7010","-150","-2.09","118971259490"
"399720","가온칩스","KOSDAQ","반도체","28750","200","0.70","330289200000"
"036620","감성코퍼레이션","KOSDAQ","유통","3490","-60","-1.69","315473580240"
"217730","강스템바이오텍","KOSDAQ","제약","3060","-90","-2.86","116090050500"
"114190","강원에너지","KOSDAQ","금속","23300","-700","-2.92","608666785400"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","5800","-120","-2.03","227533060400"
"039240","경남스틸","KOSDAQ","금속","3235","-65","-1.97","87279018940"
"053950","경남제약","KOSDAQ","제약","1725","-10","-0.58","61129508100"
"011040","경동제약","KOSDAQ","제약","7360","-80","-1.08","226458117760"
"024910","경창산업","KOSDAQ","운송장비·부품","3220","-30","-0.92","115337196100"
"198440","고려시멘트","KOSDAQ","비금속","2555","-60","-2.29","81708797800"
"049720","고려신용정보","KOSDAQ","기타서비스","9920","-20","-0.20","141856000000"
"014570","고려제약","KOSDAQ","제약","6710","-10","-0.15","73810000000"
"348150","고바이오랩","KOSDAQ","기타서비스","12220","30","0.25","230233451760"
"098460","고영","KOSDAQ","기계·장비","13640","60","0.44","936450858200"
"035290","골드앤에스","KOSDAQ","출판·매체복제","9390","-480","-4.86","436170795960"
"038530","골드퍼시픽","KOSDAQ","유통","500","0","0.00","46008215500"
"900280","골든센츄리","KOSDAQ","금융","238","0","0.00","48886220544"
"215000","골프존","KOSDAQ","소프트웨어","114000","-1400","-1.21","715397310000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","4975","-5","-0.10","213113169550"
"366030","공구우먼","KOSDAQ","섬유·의류","8050","-160","-1.95","182077717500"
"014200","광림","KOSDAQ","운송장비·부품","1006","0","0.00","91250936176"
"029480","광무","KOSDAQ","통신장비","3795","-105","-2.69","177575806980"
"026910","광진실업","KOSDAQ","금속","4900","-15","-0.31","31386484500"
