종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4325","-90","-2.04","202506425875"
"006840","AK홀딩스","KOSPI","기타금융","19410","-240","-1.22","257135159010"
"027410","BGF","KOSPI","기타금융","4140","-60","-1.43","396267514740"
"282330","BGF리테일","KOSPI","유통업","182800","-2500","-1.35","3159498016800"
"138930","BNK금융지주","KOSPI","기타금융","6720","-80","-1.18","2190284853120"
"001460","BYC","KOSPI","섬유의복","422000","-3500","-0.82","263587530000"
"001465","BYC우","KOSPI","섬유의복","148400","1000","0.68","31963134000"
"001040","CJ","KOSPI","기타금융","89400","400","0.45","2608423621200"
"079160","CJ CGV","KOSPI","서비스업","15040","-90","-0.59","717823690560"
"00104K","CJ4우(전환)","KOSPI","기타금융","72400","100","0.14","305999468800"
"000120","CJ대한통운","KOSPI","운수창고업","83700","700","0.84","1909393192800"
"011150","CJ씨푸드","KOSPI","음식료품","3340","-170","-4.84","120008781820"
"011155","CJ씨푸드1우","KOSPI","음식료품","24850","-750","-2.93","4970000000"
"001045","CJ우","KOSPI","기타금융","50600","100","0.20","114367283800"
"097950","CJ제일제당","KOSPI","음식료품","317500","-3000","-0.94","4779704055000"
"097955","CJ제일제당 우","KOSPI","음식료품","149700","-1200","-0.80","198716720100"
"000590","CS홀딩스","KOSPI","기타금융","60900","400","0.66","70307953800"
"012030","DB","KOSPI","서비스업","1804","7","0.39","362917775132"
"016610","DB금융투자","KOSPI","증권","4170","-10","-0.24","177001442130"
"005830","DB손해보험","KOSPI","보험","78700","-1300","-1.63","5571960000000"
"000990","DB하이텍","KOSPI","전기전자","61500","2400","4.06","2730513162000"
"000995","DB하이텍1우","KOSPI","전기전자","78900","400","0.51","8861732400"
"139130","DGB금융지주","KOSPI","기타금융","7000","-40","-0.57","1184020831000"
"001530","DI동일","KOSPI","유통업","20000","-250","-1.23","520813540000"
"000210","DL","KOSPI","화학","46000","-450","-0.97","963970664000"
"001880","DL건설","KOSPI","건설업","13730","-180","-1.29","302791589320"
"000215","DL우","KOSPI","화학","28150","-500","-1.75","47464137250"
"375500","DL이앤씨","KOSPI","건설업","35900","-400","-1.10","1389101065700"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","25450","-250","-0.97","53749152950"
"37550K","DL이앤씨우","KOSPI","건설업","20950","-300","-1.41","44285890750"
"007340","DN오토모티브","KOSPI","전기전자","76700","-700","-0.90","766540183500"
"004840","DRB동일","KOSPI","화학","5070","-10","-0.20","101045100000"
"155660","DSR","KOSPI","철강금속","4980","-40","-0.80","79680000000"
"069730","DSR제강","KOSPI","철강금속","4860","-130","-2.61","69984000000"
"017940","E1","KOSPI","유통업","51200","-1300","-2.48","351232000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4160","-5","-0.12","886450240000"
"383220","F&F","KOSPI","섬유의복","134700","2400","1.81","5159963002500"
"007700","F&F홀딩스","KOSPI","기타금융","20500","150","0.74","801844523500"
"114090","GKL","KOSPI","서비스업","20100","100","0.50","1243298967000"
"078930","GS","KOSPI","기타금융","39300","-400","-1.01","3651574355400"
"006360","GS건설","KOSPI","건설업","21150","-350","-1.63","1810048513500"
"001250","GS글로벌","KOSPI","유통업","3070","-85","-2.69","253378655480"
"007070","GS리테일","KOSPI","유통업","25300","50","0.20","2649363426600"
"078935","GS우","KOSPI","기타금융","34950","0","0.00","62379668700"
"012630","HDC","KOSPI","기타금융","6850","-50","-0.72","409230788850"
"039570","HDC랩스","KOSPI","건설업","8450","-40","-0.47","219341728450"
"089470","HDC현대EP","KOSPI","화학","4890","-105","-2.10","155991000000"
"294870","HDC현대산업개발","KOSPI","건설업","12840","-90","-0.70","846250117200"
"009540","HD한국조선해양","KOSPI","기타금융","96800","-600","-0.62","6850837628800"
"267250","HD현대","KOSPI","기타금융","58800","-800","-1.34","4644793398000"
"267270","HD현대건설기계","KOSPI","기계","61300","0","0.00","1207658610900"
"322000","HD현대에너지솔루션","KOSPI","전기전자","39800","-200","-0.50","445760000000"
"042670","HD현대인프라코어","KOSPI","기계","9980","100","1.01","1992042460940"
"267260","HD현대일렉트릭","KOSPI","전기전자","48250","-700","-1.43","1739274263750"
"329180","HD현대중공업","KOSPI","운수장비","118700","-800","-0.67","10537368869200"
"097230","HJ중공업","KOSPI","건설업","3715","-115","-3.00","309363953915"
"014790","HL D&I","KOSPI","건설업","2790","-30","-1.06","105625496790"
"003580","HLB글로벌","KOSPI","광업","5820","70","1.22","246576184440"
"204320","HL만도","KOSPI","운수장비","47500","200","0.42","2230463200000"
"060980","HL홀딩스","KOSPI","기타금융","35700","-300","-0.83","373852899000"
"011200","HMM","KOSPI","운수창고업","17620","-580","-3.19","8616875919520"
"082740","HSD엔진","KOSPI","기계","8650","-90","-1.03","618855548100"
"003560","IHQ","KOSPI","서비스업","239","0","0.00","57908659872"
"175330","JB금융지주","KOSPI","기타금융","8440","-70","-0.82","1662535625360"
"234080","JW생명과학","KOSPI","의약품","12430","-10","-0.08","196823506220"
"001060","JW중외제약","KOSPI","의약품","23500","-750","-3.09","536623346000"
"001067","JW중외제약2우B","KOSPI","의약품","64000","100","0.16","13178624000"
"001065","JW중외제약우","KOSPI","의약품","32000","-500","-1.54","10730400000"
"096760","JW홀딩스","KOSPI","기타금융","3405","0","0.00","246890281395"
"105560","KB금융","KOSPI","기타금융","47950","-350","-0.72","19348355902400"
"432320","KB스타리츠","KOSPI","서비스업","4590","0","0.00","465491568150"
"002380","KCC","KOSPI","화학","209000","-2500","-1.18","1857272439000"
"344820","KCC글라스","KOSPI","비금속광물","43100","-550","-1.26","688329067200"
"009070","KCTC","KOSPI","운수창고업","4130","-55","-1.31","123900000000"
"009440","KC그린홀딩스","KOSPI","기타금융","4530","-390","-7.93","101630459400"
"119650","KC코트렐","KOSPI","기계","3645","-195","-5.08","128227520610"
"092220","KEC","KOSPI","전기전자","2110","5","0.24","305450227510"
"003620","KG모빌리티","KOSPI","운수장비","9430","-480","-4.84","1762995306320"
"016380","KG스틸","KOSPI","철강금속","8750","-340","-3.74","875077848750"
"001390","KG케미칼","KOSPI","화학","32550","-900","-2.69","451341424800"
"033180","KH 필룩스","KOSPI","전기전자","442","0","0.00","84294994836"
"001940","KISCO홀딩스","KOSPI","철강금속","19200","-470","-2.39","310586496000"
"025000","KPX케미칼","KOSPI","화학","46850","-400","-0.85","226754000000"
"092230","KPX홀딩스","KOSPI","화학","51200","-200","-0.39","216301875200"
"000040","KR모터스","KOSPI","운수장비","700","-5","-0.71","67296925500"
"044450","KSS해운","KOSPI","운수창고업","8150","-100","-1.21","188149922000"
"030200","KT","KOSPI","통신업","31300","0","0.00","8172799590400"
"033780","KT&G","KOSPI","기타제조업","83500","-100","-0.12","11463923499500"
"058850","KTcs","KOSPI","서비스업","3345","-20","-0.59","142781325000"
"058860","KTis","KOSPI","서비스업","3140","-10","-0.32","109278280000"
"093050","LF","KOSPI","섬유의복","16570","150","0.91","484506800000"
"003550","LG","KOSPI","기타금융","87200","-200","-0.23","13716646589600"
"034220","LG디스플레이","KOSPI","전기전자","15480","-90","-0.58","5538987036000"
"051900","LG생활건강","KOSPI","화학","557000","0","0.00","8699335729000"
"051905","LG생활건강우","KOSPI","화학","241500","-2500","-1.02","507076825500"
"373220","LG에너지솔루션","KOSPI","전기전자","578000","-5000","-0.86","135252000000000"
"003555","LG우","KOSPI","기타금융","64700","-300","-0.46","195498814000"
"032640","LG유플러스","KOSPI","통신업","11140","-30","-0.27","4863850561540"
"011070","LG이노텍","KOSPI","전기전자","289000","2000","0.70","6839793923000"
"066570","LG전자","KOSPI","전기전자","112700","100","0.09","18443108637800"
"066575","LG전자우","KOSPI","전기전자","50100","-100","-0.20","861018199200"
"037560","LG헬로비전","KOSPI","서비스업","4425","170","4.00","342702377625"
"051910","LG화학","KOSPI","화학","706000","-6000","-0.84","49838194158000"
"051915","LG화학우","KOSPI","화학","362500","-4000","-1.09","2787190000000"
"079550","LIG넥스원","KOSPI","기계","77600","-1400","-1.77","1707200000000"
"006260","LS","KOSPI","기타금융","82800","-1700","-2.01","2666160000000"
"010120","LS ELECTRIC","KOSPI","전기전자","64300","-1100","-1.68","1929000000000"
"000680","LS네트웍스","KOSPI","유통업","2780","-45","-1.59","219072384480"
"229640","LS전선아시아","KOSPI","기타금융","6890","0","0.00","211005416310"
"108320","LX세미콘","KOSPI","전기전자","108800","1700","1.59","1769555840000"
"001120","LX인터내셔널","KOSPI","유통업","30300","-600","-1.94","1174428000000"
"108670","LX하우시스","KOSPI","화학","43950","-350","-0.79","394129096500"
"108675","LX하우시스우","KOSPI","화학","20200","0","0.00","20853066000"
"383800","LX홀딩스","KOSPI","기타금융","8280","-30","-0.36","631604113200"
"38380K","LX홀딩스1우","KOSPI","기타금융","10770","10","0.09","15781119450"
"023150","MH에탄올","KOSPI","음식료품","7510","-70","-0.92","55412730260"
"035420","NAVER","KOSPI","서비스업","202500","-3500","-1.70","33219939712500"
"181710","NHN","KOSPI","서비스업","26900","-200","-0.74","939796745800"
"400760","NH올원리츠","KOSPI","서비스업","3620","5","0.14","152764000000"
"005940","NH투자증권","KOSPI","증권","9680","30","0.31","3210526115280"
"005945","NH투자증권우","KOSPI","증권","9340","-50","-0.53","176254841120"
"338100","NH프라임리츠","KOSPI","서비스업","4400","-20","-0.45","82104000000"
"034310","NICE","KOSPI","서비스업","12390","-60","-0.48","469361697000"
"008260","NI스틸","KOSPI","철강금속","6360","-140","-2.15","181896744120"
"004250","NPC","KOSPI","화학","6300","-130","-2.02","231336000000"
"004255","NPC우","KOSPI","화학","3360","10","0.30","17740800000"
"010060","OCI","KOSPI","화학","119800","0","0.00","2857154645800"
"178920","PI첨단소재","KOSPI","화학","33000","-250","-0.75","969088626000"
"005490","POSCO홀딩스","KOSPI","철강금속","360500","-4500","-1.23","30487928415000"
"010950","S-Oil","KOSPI","화학","74400","-500","-0.67","8376159724800"
"010955","S-Oil우","KOSPI","화학","53300","-200","-0.37","214368709100"
"034120","SBS","KOSPI","서비스업","32050","-300","-0.93","584995253100"
"005090","SGC에너지","KOSPI","전기가스업","27500","-50","-0.18","403617610000"
"001380","SG글로벌","KOSPI","운수장비","1412","-63","-4.27","63489369916"
"004060","SG세계물산","KOSPI","유통업","517","-3","-0.58","104653704320"
"001770","SHD","KOSPI","철강금속","28650","-150","-0.52","34806254700"
"002360","SH에너지화학","KOSPI","화학","783","-9","-1.14","87017710590"
"009160","SIMPAC","KOSPI","철강금속","5760","10","0.17","376874012160"
"123700","SJM","KOSPI","운수장비","4965","-30","-0.60","77478318570"
