종목코드,종목명,매매거래정지,정리매매 종목,관리종목,투자주의환기종목,불성실공시,단일가매매대상 초저유동성종목,상장주식수 부족 우선주,단기과열종목,투자주의종목,투자경고종목,투자위험종목
"060310","3S","X","X","X","X","X","X","X","X","X","X","X"
"095570","AJ네트웍스","X","X","X","X","O","X","X","X","X","X","X"
"006840","AK홀딩스","X","X","X","X","X","X","X","X","X","X","X"
"054620","APS","X","X","X","X","X","X","X","X","X","X","X"
"265520","AP시스템","X","X","X","X","X","X","X","X","X","X","X"
"211270","AP위성","X","X","X","X","X","X","X","X","X","X","X"
"027410","BGF","X","X","X","X","X","X","X","X","X","X","X"
"282330","BGF리테일","X","X","X","X","X","X","X","X","X","X","X"
"126600","BGF에코머티리얼즈","X","X","X","X","X","X","X","X","X","X","X"
"138930","BNK금융지주","X","X","X","X","X","X","X","X","X","X","X"
"001460","BYC","X","X","X","X","X","X","X","X","X","X","X"
"001465","BYC우","X","X","X","X","X","X","O","X","X","X","X"
"013720","CBI","O","X","X","X","X","X","X","X","X","X","X"
"001040","CJ","X","X","X","X","X","X","X","X","X","X","X"
"079160","CJ CGV","X","X","X","X","X","X","X","X","X","X","X"
"035760","CJ ENM","X","X","X","X","X","X","X","X","X","X","X"
"311690","CJ 바이오사이언스","X","X","X","X","X","X","X","X","X","X","X"
"00104K","CJ4우(전환)","X","X","X","X","X","X","X","X","X","X","X"
"000120","CJ대한통운","X","X","X","X","X","X","X","X","X","X","X"
"011150","CJ씨푸드","X","X","X","X","X","X","X","X","X","X","X"
"011155","CJ씨푸드1우","X","X","X","X","X","X","O","X","X","X","X"
"001045","CJ우","X","X","X","X","X","X","X","X","X","X","X"
"097950","CJ제일제당","X","X","X","X","X","X","X","X","X","X","X"
"097955","CJ제일제당 우","X","X","X","X","X","X","X","X","X","X","X"
"051500","CJ프레시웨이","X","X","X","X","X","X","X","X","X","X","X"
"058820","CMG제약","X","X","X","X","X","X","X","X","X","X","X"
"023460","CNH","X","X","X","X","X","X","X","X","X","X","X"
"056730","CNT85","X","X","X","X","X","X","X","X","X","X","X"
"065770","CS","X","X","X","X","X","X","X","X","X","X","X"
"083660","CSA 코스믹","X","X","O","X","X","X","X","X","X","X","X"
"000590","CS홀딩스","X","X","X","X","X","X","X","X","X","X","X"
"012030","DB","X","X","X","X","X","X","X","X","X","X","X"
"404950","DB금융스팩10호","O","X","X","X","X","X","X","X","X","X","X"
"367340","DB금융스팩8호","X","X","X","X","X","X","X","X","X","X","X"
"367360","DB금융스팩9호","O","X","X","X","X","X","X","X","X","X","X"
"016610","DB금융투자","X","X","X","X","X","X","X","X","X","X","X"
"005830","DB손해보험","X","X","X","X","X","X","X","X","X","X","X"
"000990","DB하이텍","X","X","X","X","X","X","X","X","X","X","X"
"000995","DB하이텍1우","X","X","O","X","X","X","O","X","X","X","X"
"139130","DGB금융지주","X","X","X","X","X","X","X","X","X","X","X"
"060900","DGP","O","X","X","X","X","X","X","X","X","X","X"
"025440","DH오토웨어","X","X","X","X","X","X","X","X","X","X","X"
"001530","DI동일","X","X","X","X","X","X","X","X","X","X","X"
"000210","DL","X","X","X","X","X","X","X","X","X","X","X"
"001880","DL건설","X","X","X","X","X","X","X","X","X","X","X"
"000215","DL우","X","X","X","X","X","X","X","X","X","X","X"
